dados_google_querodelivery
3 de Maio de 2022 - 31 de Maio de 2022
Campanha,Tipo de campanha,Dia,Cidade (local geográfico),Código da moeda,Cliques,Impr.,CTR,CPC médio,Custo,Conversões,Custo / conv.,Taxa de conv.
[download]Manutencao_Marketing_geral,App,2022-05-24,Eunápolis,BRL,9,213,"4,23%","0,17","1,55","4,00","0,39","44,44%"
[download]Manutencao_Marketing_geral,App,2022-05-06,Arcoverde,BRL,21,106,"19,81%","0,15","3,13","15,00","0,21","71,43%"
[download]Manutencao_Marketing_geral,App,2022-05-30,São Cristóvão,BRL,1,71,"1,41%","0,06","0,06","1,00","0,06","50,00%"
[download]Manutencao_Marketing_geral,App,2022-05-19,Queimadas,BRL,1,2,"50,00%","0,37","0,37","0,00", --,"0,00%"
[download]Manutencao_Marketing_geral,App,2022-05-16,Itaberaba,BRL,8,64,"12,50%","0,14","1,11","6,00","0,19","75,00%"
[download]Manutencao_Marketing_geral,App,2022-05-06,Jacobina,BRL,11,77,"14,29%","0,18","1,95","9,00","0,22","81,82%"
[download]Manutencao_Marketing_geral,App,2022-05-07,Iguatu,BRL,11,167,"6,59%","0,11","1,18","7,00","0,17","63,64%"
[download]Manutencao_Marketing_geral,App,2022-05-30,Icó,BRL,1,111,"0,90%","0,20","0,20","0,00", --,"0,00%"
[download]Manutencao_Marketing_geral,App,2022-05-14,Dias d'Ávila,BRL,4,113,"3,54%","0,10","0,41","3,00","0,14","75,00%"
[download]Manutencao_Marketing_geral,App,2022-05-08,Eunápolis,BRL,8,185,"4,32%","0,06","0,47","1,00","0,47","12,50%"
[download]Manutencao_Marketing_geral,App,2022-05-29,Rolândia,BRL,2,70,"2,86%","0,02","0,03","0,00", --,"0,00%"
[download]Manutencao_Marketing_geral,App,2022-05-26,Cajazeiras,BRL,13,214,"6,07%","0,20","2,55","11,00","0,23","30,56%"
[download]Manutencao_Marketing_geral,App,2022-05-26,Lajedo,BRL,1,44,"2,27%","0,18","0,18","1,00","0,18","100,00%"
[download]Manutencao_Marketing_geral,App,2022-05-05,Timbaúba,BRL,0,28,"0,00%", --,"0,00","0,00", --,0
[download]Manutencao_Marketing_geral,App,2022-05-30,Ipirá,BRL,4,60,"6,67%","0,09","0,34","3,00","0,11","50,00%"
[download]Manutencao_Marketing_geral,App,2022-05-28,Santa Rita,BRL,2,264,"0,76%","0,15","0,30","0,00", --,"0,00%"
[download]Manutencao_Marketing_geral,App,2022-05-29,Itanhaém,BRL,6,121,"4,96%","0,32","1,95","4,00","0,49","66,67%"
