Relatório de campanha;;;;;;;;;;;;;;;;;;;;;;;;;;
1 de Janeiro de 2022 - 27 de Junho de 2022;;;;;;;;;;;;;;;;;;;;;;;;;;
Dia;Status da campanha;Campanha;Nome do orçamento;Código da moeda;Orçamento;Tipo de orçamento;Status;Motivos do status;Tipo de campanha;Pontuação de otimização;Impr.;Conversões;Custo / conv.;Custo;Taxa de conv.;Custo médio;Interações;Taxa de interação;Tipo de estratégia de lances;Cliques;CTR;Engajamentos;Visualizações;Ligações telefônicas;Impr. chamadas;PTR (taxa de chamadas)
17/01/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;7.091;205;0,46;94,22;41,75%;0,19;491;6,92%;CPA desejado;302;4,26%;191;109;0;0; --
24/01/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;7.947;208;0,46;96,2;19,40%;0,09;1.072;13,49%;CPA desejado;281;3,54%;793;497;0;0; --
27/01/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;8.184;235;0,41;95,94;23,13%;0,09;1.016;12,41%;CPA desejado;293;3,58%;725;481;0;0; --
02/03/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;18.473;443;0,34;149,21;20,21%;0,07;2.192;11,87%;CPA desejado;656;3,55%;1.548;1.001;0;0; --
14/03/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;14.275;351;0,38;135,03;38,87%;0,15;903;6,33%;CPA desejado;504;3,53%;401;265;0;0; --
16/03/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;15.380;400;0,43;172,41;29,65%;0,13;1.349;8,77%;CPA desejado;568;3,69%;785;552;0;0; --
19/03/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;12.373;412;0,41;167,11;24,31%;0,1;1.695;13,70%;CPA desejado;506;4,09%;1.197;822;0;0; --
24/03/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;27.354;275;0,6;164,05;11,46%;0,07;2.400;8,77%;CPA desejado;432;1,58%;1.988;1.169;0;0; --
26/03/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;11.639;337;0,56;187,94;14,92%;0,08;2.258;19,40%;CPA desejado;369;3,17%;1.897;1.213;0;0; --
18/04/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;10.765;366;0,28;101,42;22,21%;0,06;1.648;15,31%;CPA desejado;486;4,51%;1.170;776;0;0; --
08/05/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;16.256;598;0,25;146,7;69,05%;0,17;866;5,33%;CPA desejado;860;5,29%;6;3;0;0; --
09/05/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;12.252;345;0,3;103,69;62,73%;0,19;550;4,49%;CPA desejado;544;4,44%;6;5;0;0; --
12/05/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;11.830;344;0,27;91,37;65,28%;0,17;527;4,45%;CPA desejado;522;4,41%;5;3;0;0; --
14/05/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;16.292;555;0,26;145,78;59,61%;0,16;931;5,71%;CPA desejado;809;4,97%;122;90;0;0; --
16/05/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;11.801;388;0,23;89,65;56,40%;0,13;688;5,83%;CPA desejado;580;4,91%;109;77;0;0; --
20/05/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;20.007;703;0,27;188,03;24,00%;0,06;2.929;14,64%;CPA desejado;989;4,94%;1.956;1.281;0;0; --
30/05/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;17.675;531;0,25;134,93;47,45%;0,12;1.119;6,33%;CPA desejado;800;4,53%;325;231;0;0; --
19/06/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;19.314;921;0,29;270,42;31,58%;0,09;2.916;15,10%;CPA desejado;1.187;6,15%;1.733;1.198;0;0; --
24/06/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;16.614;807;0,26;209,22;59,87%;0,16;1.348;8,11%;CPA desejado;1.123;6,76%;225;155;0;0; --
25/06/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;15.503;635;0,26;164,76;47,46%;0,12;1.338;8,63%;CPA desejado;873;5,63%;466;324;0;0; --
06/01/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;0;0;0;0;0,00%; --;0; --;CPA desejado;0; --;0;0;0;0; --
14/01/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;6.732;213;0,44;93,97;62,65%;0,28;340;5,05%;CPA desejado;316;4,69%;24;14;0;0; --
